requestId,호기정보,startX1,startY1,startZ1,endX1,endY1,endZ1,startThickness1,endThickness1,length1,weldingLeg1,startX2,startY2,startZ2,endX2,endY2,endZ2,startThickness2,endThickness2,length2,weldingLeg2
902321,B라인3번거더,17301.075,3383.821,3.033,17304.402,5299.01,3.213,12,12,1915.193,5,17313.075,3383.8,3.018,17316.402,5298.99,3.197,12,12,1915.193,5
907447,B라인3번거더,17382.954,2175.59,3.848,17397.208,217.642,3.998,12,12,1958.0,5,17394.953,2175.677,3.836,17409.207,217.729,3.985,12,12,1958.0,5
913895,B라인3번거더,18026.073,3382.561,2.116,18029.403,5299.011,2.295,12,12,1916.453,5,18038.073,3382.54,2.1,18041.403,5298.99,2.28,12,12,1916.453,5
922423,B라인3번거더,18107.934,2180.868,3.113,18122.188,222.92,3.263,12,12,1958.0,5,18119.934,2180.955,3.101,18134.188,223.007,3.25,12,12,1958.0,5
927829,B라인3번거더,18751.071,3381.301,1.198,18754.403,5299.01,1.378,12,12,1917.712,5,18763.071,3381.281,1.183,18766.403,5298.99,1.363,12,12,1917.712,5
939316,B라인3번거더,18832.915,2186.146,2.378,18847.168,228.198,2.528,12,12,1958.0,5,18844.914,2186.233,2.366,18859.168,228.285,2.516,12,12,1958.0,5
944849,B라인3번거더,19476.069,3380.042,0.281,19479.403,5299.011,0.461,12,12,1918.972,5,19488.069,3380.021,0.266,19491.403,5298.99,0.446,12,12,1918.972,5
951617,B라인3번거더,19557.895,2191.424,1.643,19572.149,233.475,1.793,12,12,1958.0,5,19569.895,2191.511,1.631,19584.149,233.563,1.781,12,12,1958.0,5
957736,B라인3번거더,20201.068,3378.782,-0.637,20204.404,5299.01,-0.456,12,12,1920.231,5,20213.068,3378.761,-0.652,20216.404,5298.989,-0.472,12,12,1920.231,5
964599,B라인3번거더,20282.875,2196.701,0.908,20297.129,238.753,1.058,12,12,1958.0,5,20294.875,2196.789,0.896,20309.129,238.841,1.046,12,12,1958.0,5
971571,B라인3번거더,20926.067,3377.523,-1.554,20929.405,5299.011,-1.374,12,12,1921.491,5,20938.067,3377.502,-1.569,20941.405,5298.99,-1.389,12,12,1921.491,5
978174,B라인3번거더,21007.856,2201.979,0.173,21022.11,244.031,0.323,12,12,1958.0,5,21019.856,2202.067,0.161,21034.11,244.118,0.311,12,12,1958.0,5
984801,B라인3번거더,21651.065,3376.263,-2.471,21654.406,5299.01,-2.291,12,12,1922.75,5,21663.065,3376.242,-2.487,21666.405,5298.989,-2.306,12,12,1922.75,5
991424,B라인3번거더,21732.837,2207.257,-0.562,21747.091,249.309,-0.412,12,12,1958.0,5,21744.836,2207.344,-0.574,21759.09,249.396,-0.424,12,12,1958.0,5
278786,B라인3번거더,14650.527,3246.232,5.069,14636.583,5204.182,3.868,12,12,1958.0,5,14662.527,3246.317,5.062,14648.583,5204.267,3.861,12,12,1958.0,5
281798,B라인3번거더,14787.636,1983.227,5.251,14809.414,55.35,4.734,12,12,1928.0,5,14775.637,1983.092,5.247,14797.415,55.215,4.73,12,12,1928.0,5
284705,B라인3번거더,15375.508,3251.394,4.66,15361.564,5209.344,3.459,12,12,1958.0,5,15387.508,3251.48,4.653,15373.564,5209.43,3.452,12,12,1958.0,5
287761,B라인3번거더,15512.59,1991.416,5.484,15534.368,63.539,4.967,12,12,1928.0,5,15500.591,1991.281,5.48,15522.369,63.404,4.963,12,12,1928.0,5
290700,B라인3번거더,16100.49,3256.557,4.251,16086.546,5214.507,3.05,12,12,1958.0,5,16112.49,3256.643,4.244,16098.546,5214.593,3.043,12,12,1958.0,5
294591,B라인3번거더,16237.544,1999.605,5.716,16259.322,71.728,5.199,12,12,1928.0,5,16225.545,1999.47,5.713,16247.322,71.593,5.195,12,12,1928.0,5
297973,B라인3번거더,16825.471,3261.72,3.842,16811.527,5219.67,2.641,12,12,1958.0,5,16837.471,3261.806,3.835,16823.527,5219.756,2.634,12,12,1958.0,5
301664,B라인3번거더,16962.498,2007.794,5.949,16984.275,79.918,5.432,12,12,1928.0,5,16950.498,2007.659,5.945,16972.276,79.782,5.428,12,12,1928.0,5
304794,B라인3번거더,17550.453,3266.883,3.433,17536.509,5224.833,2.232,12,12,1958.0,5,17562.453,3266.968,3.426,17548.509,5224.918,2.225,12,12,1958.0,5
308429,B라인3번거더,17687.451,2015.984,6.182,17709.229,88.107,5.665,12,12,1928.0,5,17675.452,2015.848,6.178,17697.23,87.971,5.661,12,12,1928.0,5
311426,B라인3번거더,18275.435,3272.046,3.024,18261.491,5229.996,1.823,12,12,1958.0,5,18287.435,3272.131,3.017,18273.491,5230.081,1.816,12,12,1958.0,5
314854,B라인3번거더,18412.405,2024.173,6.415,18434.183,96.296,5.897,12,12,1928.0,5,18400.406,2024.037,6.411,18422.183,96.16,5.894,12,12,1928.0,5
