requestId,호기정보,startX1,startY1,startZ1,endX1,endY1,endZ1,startThickness1,endThickness1,length1,weldingLeg1,startX2,startY2,startZ2,endX2,endY2,endZ2,startThickness2,endThickness2,length2,weldingLeg2
636842,B라인2번거더,9989.86,87.9,11.032,10005.101,2751.871,13.045,12,12,2664.016,4.5,9977.861,87.969,10.951,9993.101,2751.94,12.965,12,12,2664.016,4.5
638452,B라인2번거더,9569.885,4973.838,-0.7,11099.438,5004.559,4.646,12,12,1529.871,4.5,9569.644,4985.836,-0.707,11099.197,5016.557,4.639,12,12,1529.871,4.5
639517,B라인2번거더,9582.775,4331.968,-0.337,11112.329,4362.689,5.01,12,12,1529.871,4.5,9582.534,4343.965,-0.343,11112.088,4374.686,5.003,12,12,1529.871,4.5
640730,B라인2번거더,11126.685,3647.833,5.415,9597.132,3617.112,0.068,12,12,1529.871,4.5,11126.444,3659.831,5.408,9596.891,3629.11,0.062,12,12,1529.871,4.5
641720,B라인2번거더,10345.088,2749.925,15.327,10329.847,85.953,13.314,12,12,2664.016,4.5,10333.088,2749.993,15.247,10317.847,86.022,13.233,12,12,2664.016,4.5
643112,B라인2번거더,11223.595,3055.152,6.049,11178.535,5298.88,4.778,12,12,2244.181,4.5,11235.593,3055.393,6.091,11190.532,5299.121,4.82,12,12,2244.181,4.5
644054,B라인2번거더,11519.064,5298.88,12.971,11563.987,3061.993,14.239,12,12,2237.339,4.5,11531.061,5299.121,13.013,11575.985,3062.234,14.281,12,12,2237.339,4.5
646335,B라인2번거더,12219.075,4784.93,0.092,12774.02,4794.028,0.075,12,12,555.02,4.5,12219.272,4772.931,0.101,12774.217,4782.03,0.084,12,12,555.02,4.5
647792,B라인2번거더,12234.714,3831.058,0.784,12789.659,3840.157,0.767,12,12,555.02,4.5,12234.911,3819.06,0.793,12789.856,3828.158,0.776,12,12,555.02,4.5
650753,B라인2번거더,12751.282,2731.438,0.124,12789.633,67.699,0.309,12,12,2664.016,4.5,12739.283,2731.265,0.124,12777.635,67.526,0.309,12,12,2664.016,4.5
652165,B라인2번거더,12855.612,1388.793,0.218,13598.554,1399.49,0.217,12,12,743.02,4.5,12855.439,1400.792,0.217,13598.382,1411.489,0.216,12,12,743.02,4.5
654310,B라인2번거더,12888.81,2977.158,1.391,12850.745,5298.902,-0.293,12,12,2322.056,4.5,12900.808,2977.355,1.391,12862.743,5299.099,-0.293,12,12,2322.056,4.5
655711,B라인2번거더,12955.976,4797.011,0.069,13698.896,4809.192,0.046,12,12,743.02,4.5,12956.173,4785.013,0.078,13699.093,4797.193,0.055,12,12,743.02,4.5
657120,B라인2번거더,13714.535,3855.32,0.738,12971.615,3843.14,0.761,12,12,743.02,4.5,13714.731,3843.322,0.747,12971.812,3831.141,0.77,12,12,743.02,4.5
658895,B라인2번거더,13676.229,2741.755,0.124,13714.494,84.015,0.309,12,12,2658.016,4.5,13664.23,2741.582,0.124,13702.496,83.842,0.309,12,12,2658.016,4.5
660170,B라인2번거더,13780.516,1402.11,0.217,14523.458,1412.806,0.216,12,12,743.02,4.5,13780.343,1414.108,0.216,14523.286,1424.805,0.216,12,12,743.02,4.5
661884,B라인2번거더,13813.677,2992.822,1.362,13775.869,5298.902,-0.311,12,12,2306.391,4.5,13825.675,2993.018,1.362,13787.867,5299.099,-0.311,12,12,2306.391,4.5
663236,B라인2번거더,13888.671,4335.239,0.386,14631.591,4347.419,0.363,12,12,743.02,4.5,13888.868,4323.241,0.395,14631.788,4335.421,0.372,12,12,743.02,4.5
664602,B라인2번거더,13770.223,2117.036,0.167,15428.07,2140.905,0.166,12,12,1658.02,4.5,13770.05,2129.034,0.166,15427.898,2152.903,0.165,12,12,1658.02,4.5
55467,B라인2번거더,6799.009,3015.445,3.435,6780.246,5298.951,4.676,12,12,2283.583,4.5,6811.009,3015.544,3.44,6792.245,5299.049,4.682,12,12,2283.583,4.5
56559,B라인2번거더,6841.402,1434.915,1.456,7214.344,1442.487,1.506,12,12,373.02,4.5,6841.158,1446.912,1.46,7214.101,1454.485,1.51,12,12,373.02,4.5
57586,B라인2번거더,6884.99,4355.705,4.208,7257.997,4358.77,4.381,12,12,373.02,4.5,6885.089,4343.705,4.202,7258.095,4346.77,4.375,12,12,373.02,4.5
61641,B라인2번거더,7955.538,2189.978,2.6,7975.469,352.087,1.321,16,16,1838.0,8,7939.539,2189.805,2.597,7959.47,351.913,1.318,16,16,1838.0,8
65712,B라인2번거더,8212.089,3419.247,1.007,8215.871,5257.243,0.142,16,16,1838.0,8,8228.089,3419.214,1.014,8231.871,5257.21,0.149,16,16,1838.0,8
69546,B라인2번거더,8635.498,2197.352,2.727,8655.429,359.461,1.449,16,16,1838.0,8,8619.499,2197.179,2.724,8639.43,359.287,1.446,16,16,1838.0,8
73360,B라인2번거더,8892.088,3417.848,1.304,8895.87,5255.844,0.439,16,16,1838.0,8,8908.088,3417.815,1.311,8911.87,5255.811,0.446,16,16,1838.0,8
75046,B라인2번거더,9572.018,2615.54,3.188,9600.371,1.065,1.369,12,12,2614.629,4.5,9560.019,2615.41,3.185,9588.372,0.935,1.367,12,12,2614.629,4.5
76743,B라인2번거더,9836.246,3007.897,1.909,9840.961,5299.012,0.831,12,12,2291.12,4.5,9848.246,3007.872,1.914,9852.961,5298.988,0.836,12,12,2291.12,4.5
76743,B라인2번거더,9840.961,5299.012,0.831,9840.61,5128.593,0.911,12,12,170.419,4.5,9852.961,5298.987,0.836,9852.61,5128.568,0.916,12,12,170.419,4.5
78198,B라인2번거더,11241.92,2633.649,3.501,11270.469,1.065,1.67,12,12,2632.739,4.5,11229.921,2633.519,3.499,11258.47,0.935,1.668,12,12,2632.739,4.5
79707,B라인2번거더,11506.243,3004.461,2.638,11510.964,5299.012,1.559,12,12,2294.556,4.5,11518.243,3004.436,2.643,11522.964,5298.988,1.564,12,12,2294.556,4.5
81023,B라인2번거더,11966.877,2641.511,3.637,11995.512,1.065,1.801,12,12,2640.601,4.5,11954.878,2641.38,3.635,11983.513,0.935,1.799,12,12,2640.601,4.5
82307,B라인2번거더,12231.241,3002.969,2.955,12235.966,5299.012,1.875,12,12,2296.048,4.5,12243.241,3002.945,2.96,12247.966,5298.988,1.88,12,12,2296.048,4.5
83654,B라인2번거더,12691.835,2649.372,3.773,12720.554,1.065,1.932,12,12,2648.464,4.5,12679.835,2649.242,3.771,12708.555,0.935,1.929,12,12,2648.464,4.5
85163,B라인2번거더,12782.209,2153.315,3.444,13325.197,2159.204,3.546,12,12,543.02,4.5,12782.079,2165.315,3.452,13325.067,2171.203,3.554,12,12,543.02,4.5
86484,B라인2번거더,13335.249,1232.259,2.901,12792.262,1226.37,2.799,12,12,543.02,4.5,13335.119,1244.258,2.909,12792.132,1238.37,2.807,12,12,543.02,4.5
87812,B라인2번거더,12956.239,3001.478,3.272,12960.967,5299.012,2.191,12,12,2297.54,4.5,12968.239,3001.453,3.277,12972.967,5298.988,2.196,12,12,2297.54,4.5
89364,B라인2번거더,13054.252,3498.285,3.08,13597.27,3497.168,3.317,12,12,543.02,4.5,13054.227,3486.285,3.086,13597.246,3485.168,3.323,12,12,543.02,4.5
90723,B라인2번거더,13056.16,4425.283,2.644,13599.178,4424.165,2.881,12,12,543.02,4.5,13056.135,4413.283,2.65,13599.153,4412.166,2.887,12,12,543.02,4.5
92047,B라인2번거더,13416.792,2657.234,3.91,13445.572,3.375,2.064,12,12,2654.016,4.5,13404.793,2657.104,3.907,13433.573,3.245,2.062,12,12,2654.016,4.5
694606,B라인2번거더,6783.379,105.955,0.941,6729.479,2760.423,1.947,12,12,2655.016,4.5,6771.381,105.711,0.94,6717.481,2760.18,1.945,12,12,2655.016,4.5
698136,B라인2번거더,13681.238,2999.986,3.588,13685.968,5299.012,2.507,12,12,2299.031,4.5,13693.238,2999.961,3.594,13697.968,5298.988,2.512,12,12,2299.031,4.5
700164,B라인2번거더,14474.734,1389.343,0.725,14847.749,1391.181,0.763,12,12,373.02,4.5,14474.675,1401.343,0.729,14847.69,1403.181,0.766,12,12,373.02,4.5
706942,B라인2번거더,14585.371,2983.132,-0.833,14583.735,4213.147,-1.672,12,12,1230.016,4.5,14573.371,2983.116,-0.837,14571.735,4213.131,-1.676,12,12,1230.016,4.5
711797,B라인2번거더,14782.654,5025.404,-2.158,15135.663,5025.874,-2.038,12,12,353.01,4.5,14782.638,5037.404,-2.167,15135.647,5037.874,-2.046,12,12,353.01,4.5
716378,B라인2번거더,14783.621,4298.405,-1.662,15136.631,4298.875,-1.542,12,12,353.01,4.5,14783.605,4310.405,-1.67,15136.615,4310.875,-1.55,12,12,353.01,4.5
718934,B라인2번거더,14938.198,2719.15,1.176,14951.278,64.167,0.369,12,12,2655.016,4.5,14926.198,2719.091,1.175,14939.278,64.108,0.368,12,12,2655.016,4.5
706786,B라인2번거더,8034.658,3898.325,2.07,7376.696,3889.002,2.491,12,12,658.029,4.5,8034.488,3910.324,2.075,7376.526,3901.001,2.496,12,12,658.029,4.5
709915,B라인2번거더,7803.773,2741.546,1.906,7874.913,88.484,1.32,12,12,2654.016,4.5,7791.778,2741.224,1.907,7862.917,88.162,1.321,12,12,2654.016,4.5
712190,B라인2번거더,7924.303,1417.293,1.602,8472.125,1431.982,1.534,12,12,548.02,4.5,7923.981,1429.289,1.605,8471.804,1443.978,1.537,12,12,548.02,4.5
713789,B라인2번거더,8143.519,3061.276,1.682,8111.811,5299.085,2.552,12,12,2238.034,4.5,8131.52,3061.106,1.691,8099.812,5298.915,2.561,12,12,2238.034,4.5
715198,B라인2번거더,8199.563,5104.783,2.422,9884.435,5128.656,1.345,12,12,1685.042,4.5,8199.393,5116.781,2.426,9884.265,5140.655,1.349,12,12,1685.042,4.5
716613,B라인2번거더,8209.863,4377.856,2.139,9894.735,4401.729,1.062,12,12,1685.042,4.5,8209.693,4389.854,2.144,9894.565,4413.728,1.067,12,12,1685.042,4.5
718027,B라인2번거더,8876.751,3757.242,1.474,8218.789,3747.919,1.894,12,12,658.029,4.5,8876.581,3769.241,1.479,8218.619,3759.918,1.899,12,12,658.029,4.5
721210,B라인2번거더,8533.511,2761.113,1.815,8604.651,108.051,1.229,12,12,2654.016,4.5,8521.515,2760.792,1.817,8592.655,107.73,1.231,12,12,2654.016,4.5
723473,B라인2번거더,8654.04,1436.86,1.512,9201.863,1451.55,1.444,12,12,548.02,4.5,8653.719,1448.856,1.515,9201.541,1463.546,1.447,12,12,548.02,4.5
724971,B라인2번거더,8983.445,3073.177,1.146,8966.011,4303.569,1.624,12,12,1230.516,4.5,8971.446,3073.007,1.153,8954.012,4303.399,1.631,12,12,1230.516,4.5
728037,B라인2번거더,9263.249,2780.681,1.725,9334.388,127.619,1.139,12,12,2654.016,4.5,9251.253,2780.359,1.727,9322.393,127.297,1.14,12,12,2654.016,4.5
730652,B라인2번거더,9383.778,1456.428,1.421,9736.661,1465.89,1.378,12,12,353.01,4.5,9383.456,1468.423,1.424,9736.339,1477.886,1.38,12,12,353.01,4.5
733253,B라인2번거더,9756.148,739.151,1.217,9403.265,729.689,1.261,12,12,353.01,4.5,9755.826,751.147,1.22,9402.943,741.685,1.264,12,12,353.01,4.5
735773,B라인2번거더,9945.985,1568.53,1.373,9913.015,2798.104,1.645,12,12,1230.016,4.5,9933.989,1568.208,1.374,9901.019,2797.782,1.646,12,12,1230.016,4.5
738105,B라인2번거더,10196.622,1407.575,1.929,10569.63,1410.505,1.929,12,12,373.02,4.5,10196.528,1419.575,1.933,10569.536,1422.505,1.934,12,12,373.02,4.5
740414,B라인2번거더,10264.62,4332.445,2.22,10637.607,4337.327,2.191,12,12,373.02,4.5,10264.777,4320.446,2.226,10637.765,4325.328,2.197,12,12,373.02,4.5
742401,B라인2번거더,10656.19,2738.734,2.413,10677.045,83.8,1.446,12,12,2655.016,4.5,10644.19,2738.64,2.413,10665.045,83.706,1.446,12,12,2655.016,4.5
744199,B라인2번거더,10739.965,3011.046,2.836,10710.019,5298.922,1.713,12,12,2288.072,4.5,10751.964,3011.203,2.835,10722.018,5299.079,1.712,12,12,2288.072,4.5
745784,B라인2번거더,10751.605,1411.935,1.93,11299.607,1416.239,1.931,12,12,548.02,4.5,10751.511,1423.934,1.934,11299.513,1428.239,1.935,12,12,548.02,4.5
747309,B라인2번거더,10819.572,4339.709,2.177,11367.545,4346.881,2.135,12,12,548.02,4.5,10819.729,4327.71,2.183,11367.702,4334.882,2.141,12,12,548.02,4.5
749075,B라인2번거더,11386.171,2743.968,2.414,11407.018,90.035,1.448,12,12,2654.016,4.5,11374.171,2743.874,2.414,11395.019,89.94,1.448,12,12,2654.016,4.5
750661,B라인2번거더,11469.895,3021.1,2.78,11440.081,5298.922,1.661,12,12,2278.017,4.5,11481.894,3021.257,2.779,11452.08,5299.079,1.661,12,12,2278.017,4.5
